# room	name	n_truth_corners	IoU	truth_xy	est_xy
# Regenerated from the 594-room run so the mosaic samples the WHOLE corpus.
306	YFuZgdQ5vWj_8b222f6c479d48ccb0cc24fbd402618c	10	0.9800	1.2400,-1.7100 1.2400,5.0400 -3.4800,5.0400 -3.4800,2.7300 -7.1700,2.7300 -7.1700,-3.1500 -5.1900,-3.1500 -5.1900,-2.3200 -1.7400,-2.3200 -1.7400,-1.7100	-7.1200,-3.0600 -6.2200,-3.0500 -6.2200,-3.1800 -5.2500,-3.1700 -5.2600,-2.3400 -5.0800,-2.3400 -5.0800,-2.2500 -3.7800,-2.2400 -3.7800,-2.3300 -3.1400,-2.3200 -3.1400,-2.1400 -2.7600,-2.1400 -2.7600,-2.3200 -1.9300,-2.3100 -1.9300,-1.7000 1.2700,-1.6700 1.2100,5.0800 -3.5000,5.0400 -3.4800,2.7400 -7.1800,2.7000 -7.1500,-0.6200 -6.9800,-0.6200 -6.9700,-1.3400 -7.1400,-1.3400
307	YFuZgdQ5vWj_8c8df75cf06041a5b7b0b4cce4e9e6ed	10	0.9820	1.4800,-1.2600 1.4800,1.0200 4.7700,1.0200 4.7700,9.8200 3.0300,9.8200 3.0300,6.2100 -0.3300,6.2100 -0.3300,5.3300 -3.2500,5.3300 -3.2500,-1.2600	-3.2300,-1.3100 1.5000,-1.2800 1.4900,1.0000 4.7700,1.0200 4.7500,4.5400 4.6400,4.5400 4.6300,5.5900 4.7400,5.5900 4.7100,9.8200 2.9700,9.8100 3.0000,6.1900 -0.3600,6.1700 -0.3500,5.2900 -3.2700,5.2700
308	YFuZgdQ5vWj_8f50ee3ca01343dd82e9c55fbc59d379	10	0.9980	0.8000,-3.3800 0.8000,1.8700 -1.0100,1.8700 -1.0100,0.5000 -5.8700,0.5000 -5.8700,-4.1300 -2.4500,-4.1300 -2.4500,-5.1900 -1.1200,-5.1900 -1.1200,-3.3800	-2.4500,-5.1900 -1.1400,-5.1900 -1.1400,-3.3800 0.7900,-3.3800 0.8000,1.8700 -1.0100,1.8700 -1.0100,0.5000 -5.8700,0.5100 -5.8800,-4.1300 -2.4500,-4.1300
309	YFuZgdQ5vWj_90bab42098594c2ca44b917d5a857cd8	10	0.7540	3.3900,-0.7200 3.3900,1.4000 0.8400,1.4000 0.8400,0.7000 -0.4100,0.7000 -0.4100,1.8700 -2.3300,1.8700 -2.3300,5.6800 -6.8300,5.6800 -6.8300,-0.7200	-6.5500,-0.8600 -2.6000,-0.2700 -2.5700,-0.4500 -2.0200,-0.3700 -2.0200,-0.3800 -1.4600,-0.3000 -1.4300,-0.5000 1.4300,-0.0800 1.4000,0.1300 1.8200,0.1900 1.8200,0.2000 2.3300,0.2800 2.3600,0.0600 3.6200,0.2500 3.3000,2.3500 2.8500,2.2800 2.8600,2.1800 2.2800,2.1000 2.3000,1.9700 1.8700,1.9100 1.8400,2.1300 1.2100,2.0300 1.2500,1.7800 0.8200,1.7200 0.8800,1.2900 -0.3000,1.1100 -0.4100,1.7900 -2.3600,1.5000 -2.9900,5.6900 -7.4300,5.0300
310	YFuZgdQ5vWj_90d93cf5bd974b238727888cd07a8526	12	1.0000	0.0300,-4.3300 0.0300,-0.6600 1.1200,-0.6600 1.1200,0.6700 -0.6600,0.6700 -0.6600,2.6200 -6.2100,2.6200 -6.2100,0.8800 -3.2100,0.8800 -3.2100,-0.0500 -4.7200,-0.0500 -4.7200,-4.3300	-4.7200,-4.3300 0.0300,-4.3300 0.0300,-0.6600 1.1200,-0.6600 1.1200,0.6700 -0.6600,0.6700 -0.6600,2.6200 -6.2100,2.6200 -6.2100,0.8800 -3.2100,0.8800 -3.2100,-0.0300 -4.7200,-0.0300
311	YFuZgdQ5vWj_92cb150e5f1e440da6046f0f1f007aae	10	0.9930	2.6600,-1.4600 2.6600,3.3900 0.2700,3.3900 0.2700,6.4800 -6.3700,6.4800 -6.3700,4.9700 -4.8300,4.9700 -4.8300,1.6500 -4.3900,1.6500 -4.3900,-1.4600	-4.3900,-1.4400 2.6600,-1.4600 2.6700,3.4000 0.2900,3.4000 0.3000,6.4900 -6.3500,6.5200 -6.3600,4.9900 -4.8200,4.9800 -4.8300,1.7000 -4.3800,1.6900
312	YFuZgdQ5vWj_a49940b6a8204bfbac3c67cc57f78009	6	0.9960	4.0000,-4.8400 4.0000,0.7000 -0.9700,0.7000 -0.9700,-0.5300 -0.1300,-0.5300 -0.1300,-4.8400	-0.9800,0.6900 -0.9800,-0.5500 -0.1400,-0.5500 -0.1300,-4.8500 4.0000,-4.8400 3.9900,0.2400 3.8300,0.2400 3.8300,0.7000
313	YFuZgdQ5vWj_aa31721c3c23418bb05a4caa3b88b7cf	8	0.9770	3.2500,-1.3100 3.2500,1.7500 -0.1000,1.7500 -0.1000,1.1600 -5.5500,1.1600 -5.5500,-5.2900 -0.6700,-5.2900 -0.6700,-1.3100	-5.5000,-5.2900 -0.6200,-5.2500 -0.6500,-1.2700 3.2600,-1.2500 3.2500,1.2300 3.2100,1.2300 3.2000,1.8200 -0.1300,1.8000 -0.1200,1.2100 -5.5500,1.1700
314	YFuZgdQ5vWj_d5dde04ba5cd4517b91615ddbe9b0ee9	12	0.9660	0.9200,-3.6000 0.9200,-1.4100 1.3800,-1.4100 1.3800,-2.8200 2.7500,-2.8200 2.7500,2.9700 -2.2500,2.9700 -2.2500,-0.7800 -3.4100,-0.7800 -3.4100,-2.1500 -1.5200,-2.1500 -1.5200,-3.6000	-1.4900,-2.4900 -1.3100,-2.4900 -1.3100,-2.9100 -1.3700,-2.9100 -1.3600,-3.6100 0.9600,-3.5900 0.9400,-1.4200 1.4000,-1.4100 1.4100,-2.4700 2.7700,-2.4600 2.7200,2.9900 -2.2700,2.9500 -2.2400,-0.8000 -3.4000,-0.8100 -3.3900,-2.1800 -1.5000,-2.1600
315	YFuZgdQ5vWj_dafccfaeaa6342dfb58c0d927dbced58	12	0.9930	-0.5500,-4.3300 -0.5500,-2.0000 0.3200,-2.0000 0.3200,-4.0500 4.9500,-4.0500 4.9500,1.2100 0.9500,1.2100 0.9500,2.2700 -0.3900,2.2700 -0.3900,0.4400 -2.2800,0.4400 -2.2800,-4.3300	0.3200,-4.0600 4.9600,-4.0600 4.9500,1.0800 4.0400,1.0800 4.0400,1.2100 0.9500,1.2000 0.9500,2.2600 -0.4100,2.2500 -0.4000,0.4300 -2.2800,0.4200 -2.2700,-4.3200 -0.5500,-4.3200 -0.5500,-2.0100 0.3200,-2.0000
316	YFuZgdQ5vWj_fdfadee66c364112b088538355513121	12	0.9940	0.9300,-1.1100 0.9300,4.3000 -0.8200,4.3000 -0.8200,1.3500 -1.7700,1.3500 -1.7700,2.9600 -6.3300,2.9600 -6.3300,-1.9400 -2.5300,-1.9400 -2.5300,-3.2300 -0.9000,-3.2300 -0.9000,-1.1100	-2.5200,-3.2300 -0.8900,-3.2200 -0.8900,-1.1100 0.9400,-1.1000 0.9200,4.3200 -0.8400,4.3200 -0.8300,1.3600 -1.7700,1.3600 -1.7800,2.9700 -4.2700,2.9600 -4.2700,2.8000 -4.6700,2.7900 -4.6700,2.8000 -5.0800,2.7900 -5.0800,2.9600 -6.3400,2.9500 -6.3200,-1.9500 -2.5200,-1.9300
317	aayBHfsNo7d_0fa45532f291420e9275811772f05e49	12	0.9990	0.9400,-3.5300 0.9400,0.3400 1.8700,0.3400 1.8700,2.2800 -0.0100,2.2800 -0.0100,2.7700 -0.9100,2.7700 -0.9100,1.8400 -2.5700,1.8400 -2.5700,2.7700 -4.4900,2.7700 -4.4900,-3.5300	-4.4700,-3.5300 0.9600,-3.5200 0.9500,0.3400 1.8800,0.3400 1.8800,2.2900 -0.0000,2.2900 -0.0000,2.7700 -0.8700,2.7700 -0.8700,2.2800 -0.9100,2.2800 -0.9100,1.8400 -2.5700,1.8400 -2.5700,2.7700 -4.4800,2.7700
318	aayBHfsNo7d_5ab3ffcf9e124111bd2fa931badc3c83	8	0.9870	0.7800,-5.0100 0.7800,1.2100 -4.5700,1.2100 -4.5700,-2.6600 -5.1900,-2.6600 -5.1900,-4.1200 -1.0500,-4.1200 -1.0500,-5.0100	-1.0900,-5.0100 0.7400,-5.0300 0.8100,1.1800 -4.5500,1.2400 -4.5900,-2.6600 -5.2100,-2.6500 -5.2200,-4.0900 -1.0800,-4.1300
319	aayBHfsNo7d_648bb87f6b844a088376ef700d77aa5d	10	0.9970	1.4800,-4.6400 1.4800,0.9400 0.5800,0.9400 0.5800,3.6200 -1.0300,3.6200 -1.0300,0.9400 -2.5600,0.9400 -2.5600,1.4100 -3.8000,1.4100 -3.8000,-4.6400	-3.8100,-4.6400 1.4700,-4.6400 1.4800,0.9400 0.5700,0.9400 0.5700,3.6300 -1.0500,3.6300 -1.0500,0.9400 -2.5700,0.9400 -2.5700,1.4000 -3.8000,1.4000
320	aayBHfsNo7d_9568123de77d4e68bfba11f34b83ac7a	6	0.9840	0.6400,-2.1600 0.6400,1.8100 -2.7900,1.8100 -2.7900,0.1700 -3.3500,0.1700 -3.3500,-2.1600	-3.3500,-2.1400 0.6400,-2.1900 0.6900,1.7900 -2.7400,1.8300 -2.7600,0.1800 -3.3200,0.1800
321	aayBHfsNo7d_d1af2f90794243db807d60a07050941c	10	0.9690	0.0400,-4.7600 0.0400,-0.7300 11.2300,-0.7300 11.2300,1.1100 -0.9200,1.1100 -0.9200,1.5800 -1.8500,1.5800 -1.8500,0.7800 -4.9900,0.7800 -4.9900,-4.7600	-5.0000,-4.7300 0.0200,-4.7700 0.0500,-0.7400 11.2400,-0.8300 11.2600,1.0100 -0.8900,1.1000 -0.8900,1.5800 -1.7900,1.5800 -1.7900,1.1100 -1.8300,1.1100 -1.8400,0.8000 -4.9600,0.8200
322	ac26ZMwG7aT_0cf943705a6f4cf798dbcc605c811a50	14	0.9660	1.7400,-5.9100 1.7400,-0.4000 0.5600,-0.4000 0.5600,3.6100 -1.8600,3.6100 -1.8600,2.1800 -1.0700,2.1800 -1.0700,-1.9900 -1.9400,-1.9900 -1.9400,-3.6400 -1.0700,-3.6400 -1.0700,-10.4300 0.4500,-10.4300 0.4500,-5.9100	-1.0500,-10.4400 0.5100,-10.4300 0.4900,-5.9100 1.7300,-5.9000 1.7100,-1.8600 1.5500,-1.8600 1.5500,-1.4600 1.7100,-1.4600 1.7100,-0.3900 0.4600,-0.4000 0.4400,3.6100 -1.9900,3.6000 -1.9900,2.1700 -1.1100,2.1700 -1.0900,-2.0000 -1.9700,-2.0000 -1.9600,-3.6500 -1.0800,-3.6500
323	ac26ZMwG7aT_11fae969386e4e4fa6ed73ac9f20cd1d	8	0.9810	-0.3600,-3.8800 -0.3600,-0.7400 0.4400,-0.7400 0.4400,0.9200 -4.2400,0.9200 -4.2400,-3.2700 -2.4000,-3.2700 -2.4000,-3.8800	-2.4100,-3.8600 -0.3700,-3.8800 -0.3300,-0.7400 0.4700,-0.7500 0.4900,0.9000 -4.1900,0.9600 -4.2400,-3.2300 -2.4000,-3.2500
324	ac26ZMwG7aT_1374647ec3f94d46a28310bdf04bb8d8	8	0.9700	1.3600,-3.6900 1.3600,0.3100 -0.4500,0.3100 -0.4500,1.0700 -2.5700,1.0700 -2.5700,-2.0600 -3.3400,-2.0600 -3.3400,-3.6900	-3.4100,-3.6800 1.2900,-3.7800 1.3800,0.2200 -0.4400,0.2600 -0.4300,1.0000 -2.5400,1.0500 -2.6100,-2.0700 -3.3700,-2.0500
325	ac26ZMwG7aT_13faa4c86406405ba802f5bdcba744ee	8	0.9860	2.5400,-3.9100 2.5400,-0.6700 3.3000,-0.6700 3.3000,0.8000 -1.5700,0.8000 -1.5700,-3.2000 0.3800,-3.2000 0.3800,-3.9100	-1.5300,0.8400 -1.5800,-3.1600 0.3700,-3.1800 0.3600,-3.8900 2.5300,-3.9100 2.5600,-0.6600 3.3200,-0.6700 3.3400,0.7800
326	ac26ZMwG7aT_1674e74d24cc478e832b252de024bc9b	6	0.9870	1.1400,-3.2000 1.1400,0.2000 0.5000,0.2000 0.5000,2.5500 -3.2700,2.5500 -3.2700,-3.2000	-3.3000,2.5400 -3.2700,-3.2100 1.1300,-3.1900 1.1100,0.2100 0.4700,0.2100 0.4600,2.5600
327	ac26ZMwG7aT_178df5c45ab94180b8c956c7b3f54ca7	8	0.9710	0.5000,-4.0400 0.5000,0.7700 -3.6600,0.7700 -3.6600,-1.1800 -4.3000,-1.1800 -4.3000,-3.1900 -1.0700,-3.1900 -1.0700,-4.0400	-1.1200,-4.0600 0.4500,-4.0800 0.5000,0.7300 -3.5500,0.7800 -3.5600,-0.0500 -3.6700,-0.0500 -3.6900,-1.1800 -4.3100,-1.1700 -4.3300,-3.1700 -1.1100,-3.2100
328	ac26ZMwG7aT_2291e23cde8e4eaebe6b9fe9cbdeb888	12	0.9920	2.4300,-4.7600 2.4300,-4.0600 3.1600,-4.0600 3.1600,-0.5800 0.4500,-0.5800 0.4500,-0.0900 1.9100,-0.0900 1.9100,2.5800 1.3300,2.5800 1.3300,3.0800 -0.5300,3.0800 -0.5300,-4.7600	-0.5300,-4.7600 2.4300,-4.7500 2.4300,-4.0600 3.1600,-4.0500 3.1600,-0.5700 0.4200,-0.5800 0.4200,-0.0900 1.9100,-0.0800 1.9000,2.5800 1.2600,2.5800 1.2600,3.0800 -0.5500,3.0800
329	ac26ZMwG7aT_329e410f057b4056a2b61cab3322d815	8	0.9770	2.6800,-2.1700 2.6800,1.0600 3.4600,1.0600 3.4600,2.7400 -1.6400,2.7400 -1.6400,-1.5200 0.5000,-1.5200 0.5000,-2.1700	-1.5900,2.7500 -1.6500,-1.5100 0.4900,-1.5400 0.4800,-2.1800 2.6600,-2.2100 2.7100,1.0200 3.4800,1.0100 3.5000,2.6800
330	ac26ZMwG7aT_47bec259eaac4e00a4db928751889af6	6	0.9990	1.1900,-1.9500 1.1900,2.7600 -0.4700,2.7600 -0.4700,2.0800 -3.1900,2.0800 -3.1900,-1.9500	-3.2000,-1.9500 1.1900,-1.9300 1.1800,2.1000 1.1400,2.1000 1.1400,2.7800 -0.4800,2.7700 -0.4800,2.0900 -3.2100,2.0900
331	ac26ZMwG7aT_500a6e1357ea4860b4971a3011195e05	8	0.9790	2.8700,3.8500 0.8100,3.8500 0.8100,4.5400 -1.2700,4.5400 -1.2700,1.0700 -2.1300,1.0700 -2.1300,-0.5300 2.8700,-0.5300	-2.1900,-0.5100 2.8100,-0.6000 2.8900,3.7800 0.8200,3.8100 0.8300,4.5000 -1.2400,4.5400 -1.3000,1.0800 -2.1600,1.0900
332	ac26ZMwG7aT_5dee09fa6cca450bbffec66329368e89	8	0.9760	2.9300,-4.6100 2.9300,-0.1100 0.9400,-0.1100 0.9400,0.5900 -1.2600,0.5900 -1.2600,-2.7200 -2.1300,-2.7200 -2.1300,-4.6100	-2.1900,-4.5800 2.8700,-4.6700 2.9500,-0.1700 0.9100,-0.1300 0.9200,0.5600 -1.2400,0.6000 -1.3000,-2.7100 -2.1600,-2.6900
333	ac26ZMwG7aT_6e5f25022c4d4dbf9a7f35bd77cbf296	10	0.9810	4.5900,-2.6900 4.5900,1.5700 0.9800,1.5700 0.9800,2.3600 1.6100,2.3600 1.6100,3.8900 -0.1800,3.8900 -0.1800,-0.9200 1.4600,-0.9200 1.4600,-2.6900	1.4500,-2.7100 4.5800,-2.7100 4.5900,1.5400 0.9000,1.5500 0.9000,2.3700 1.6100,2.3700 1.6100,3.8800 -0.1800,3.8800 -0.1800,-0.9400 1.4500,-0.9400
334	ac26ZMwG7aT_735cc8eae07743a1aa5d41ba878b0eb4	12	0.9770	1.2400,-7.9900 1.2400,-2.9100 2.6400,-2.9100 2.6400,2.7100 1.2600,2.7100 1.2600,7.2500 -0.4600,7.2500 -0.4600,1.0000 -1.6700,1.0000 -1.6700,-0.8600 -0.4500,-0.8600 -0.4500,-7.9900	-0.4300,7.2500 -0.4500,1.0000 -1.6700,1.0000 -1.6800,-0.8600 -0.4600,-0.8600 -0.4800,-7.9900 1.2200,-7.9900 1.2400,-2.9200 2.6200,-2.9200 2.6400,2.2200 2.4800,2.2200 2.4800,2.7000 1.2600,2.7100 1.2800,7.2400
335	ac26ZMwG7aT_7fb0cc6c0754461ca29084c1d793b600	10	0.9840	1.3300,-1.7900 1.3300,1.1100 -2.5700,1.1100 -2.5700,2.7900 -6.4000,2.7900 -6.4000,-0.2500 -3.3500,-0.2500 -3.3500,-1.0900 -0.7600,-1.0900 -0.7600,-1.7900	1.3100,-1.8300 1.3300,1.0800 -2.5700,1.1000 -2.5700,2.7700 -6.3900,2.7900 -6.4100,-0.2500 -3.3600,-0.2700 -3.3600,-1.1100 -0.7800,-1.1200 -0.7800,-1.8200
336	ac26ZMwG7aT_8b6a76eb79104e6cbfe32db46e5fb58c	8	0.9660	-5.0800,-3.8100 -0.3100,-3.8100 -0.3100,-1.3000 0.3000,-1.3000 0.3000,0.8800 -3.5200,0.8800 -3.5200,1.3300 -5.0800,1.3300	-5.0800,-3.7600 -0.3100,-3.8300 -0.2700,-1.3200 0.3300,-1.3200 0.3600,0.8500 -3.8700,0.9100 -3.8600,1.3600 -4.2700,1.3600 -4.2700,1.2400 -5.0100,1.2500
337	ac26ZMwG7aT_8dc2bb01c486457b9a0348c413d62f67	6	0.9800	5.1500,-3.1700 5.1500,0.9800 -0.7800,0.9800 -0.7800,-3.9000 2.6300,-3.9000 2.6300,-3.1700	-0.7600,-3.9000 2.6400,-3.8800 2.6300,-3.1500 4.3900,-3.1300 4.3900,-2.9500 5.1600,-2.9500 5.1300,1.0100 -0.7900,0.9800
338	ac26ZMwG7aT_8e24f06762dd4535ae68bdaf10aba9c4	6	0.9870	0.2900,-2.2500 0.2900,2.2400 -2.7800,2.2400 -2.7800,1.5600 -5.0200,1.5600 -5.0200,-2.2500	-5.0100,-2.1400 -4.5200,-2.1300 -4.5200,-2.3000 0.2900,-2.2500 0.2500,2.2400 -2.8100,2.2100 -2.8000,1.5400 -5.0400,1.5200
339	ac26ZMwG7aT_91b29545634c4754bfe914564d6c950f	8	0.9840	1.8100,-2.0900 1.8100,0.4500 -4.1900,0.4500 -4.1900,1.1400 -10.5000,1.1400 -10.5000,-1.1900 0.0300,-1.1900 0.0300,-2.0900	0.0300,-2.0900 1.8100,-2.0900 1.8100,0.4700 -4.1900,0.4800 -4.1900,1.1400 -10.5000,1.1400 -10.5000,-1.1900 0.0300,-1.2000
340	ac26ZMwG7aT_97dfbaecdc3f417385083e8302b2b694	14	0.9320	0.5200,-11.9900 0.5200,-6.3800 1.4500,-6.3800 1.4500,-2.3800 0.5300,-2.3800 0.5300,1.6100 -2.0200,1.6100 -2.0200,-0.2300 -1.0800,-0.2300 -1.0800,-4.3000 -1.5700,-4.3000 -1.5700,-6.5000 -1.0400,-6.5000 -1.0400,-11.9900	-1.0700,-11.9800 0.5100,-11.9900 0.5400,-6.4200 1.4700,-6.4300 1.4900,-2.3800 0.5600,-2.3800 0.5800,0.8300 0.4200,0.8300 0.4200,1.6100 -1.4900,1.6200 -1.5100,-0.2200 -1.0000,-0.2200 -1.0300,-4.2900 -1.5300,-4.2800 -1.5400,-6.4100 -1.0400,-6.4100
341	ac26ZMwG7aT_9d97383beaee4ec78b8b20f44ba72c3b	10	0.9950	4.7600,-4.7200 4.7600,0.7000 -1.3000,0.7000 -1.3000,-0.3300 -4.5600,-0.3300 -4.5600,-1.9800 -0.2100,-1.9800 -0.2100,-0.4800 0.2800,-0.4800 0.2800,-4.7200	0.2900,-4.7200 4.7800,-4.7100 4.7600,0.7100 -1.3000,0.6900 -1.2900,-0.3300 -4.5500,-0.3400 -4.5500,-2.0000 -0.2000,-1.9800 -0.2000,-0.4800 0.2800,-0.4700
342	ac26ZMwG7aT_bbac569878204a37bb6482bc5089aaa5	10	0.9690	0.3100,-1.4700 0.3100,0.9600 -1.4600,0.9600 -1.4600,1.8200 -2.8000,1.8200 -2.8000,-1.5200 -5.3300,-1.5200 -5.3300,-3.4800 -1.6500,-3.4800 -1.6500,-1.4700	-5.3500,-3.4300 -1.6400,-3.4700 -1.6200,-1.4500 0.3000,-1.4700 0.3200,0.9600 -1.6000,0.9800 -1.5900,1.8300 -2.7800,1.8400 -2.8100,-1.5000 -5.3300,-1.4700
343	ac26ZMwG7aT_bd4a599f645342adafc1b09a953431e8	10	0.9770	0.5500,-6.8000 0.5500,-2.7700 2.8900,-2.7700 2.8900,0.9600 0.3200,0.9600 0.3200,2.7000 -0.8200,2.7000 -0.8200,-2.2800 -2.4100,-2.2800 -2.4100,-6.8000	-2.4300,-6.7900 0.4600,-6.8000 0.4700,-2.7700 2.8900,-2.7800 2.9000,0.9600 0.4800,0.9600 0.4800,1.0900 0.3700,1.0900 0.3700,2.7100 -0.7300,2.7100 -0.7300,1.5400 -0.8100,1.5400 -0.8200,-2.2700 -2.4200,-2.2600
344	ac26ZMwG7aT_c370bbcbfbf649e38524754b668bb1b2	14	0.9410	0.9400,-4.1400 0.9400,-0.0200 3.2400,-0.0200 3.2400,3.6800 0.6900,3.6800 0.6900,5.5000 -0.4500,5.5000 -0.4500,0.5700 -1.8800,0.5700 -1.8800,-0.3200 -1.2000,-0.3200 -1.2000,-2.1400 -2.3900,-2.1400 -2.3900,-4.1400	-1.9800,-4.0900 0.7400,-4.1300 0.8100,-0.0200 3.1900,-0.0500 3.2400,2.8300 3.1200,2.8300 3.1400,3.6400 0.8700,3.6800 0.8700,3.7200 0.7200,3.7200 0.7500,5.5100 -0.4100,5.5300 -0.4900,0.6000 -1.9100,0.6200 -1.9200,-0.2500 -1.2500,-0.2700 -1.2800,-2.1500 -1.9500,-2.1300 -1.9500,-2.1700 -2.4700,-2.1700 -2.5000,-4.0400 -1.9800,-4.0500
345	ac26ZMwG7aT_fa1974a668c94fa393eccece0be0ede3	6	1.0000	0.7600,-3.3600 0.7600,-2.7300 3.0500,-2.7300 3.0500,1.0300 -2.3100,1.0300 -2.3100,-3.3600	-2.3100,-3.3500 0.7700,-3.3400 0.7700,-2.7200 3.0600,-2.7100 3.0400,1.0500 -2.3200,1.0300
346	b8cTxDM8gDG_12fc603ce4bc4cbd81c704e630f130bd	6	0.9930	1.1900,-0.7300 1.1900,0.5200 0.3100,0.5200 0.3100,3.2200 -3.7300,3.2200 -3.7300,-0.7300	-3.7100,-0.7400 1.2100,-0.7200 1.2100,0.5300 0.3200,0.5300 0.3200,3.2200 -3.7200,3.2100
347	b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15	8	0.9830	0.3200,-1.4700 0.3200,-0.0800 2.8700,-0.0800 2.8700,4.5200 -1.3300,4.5200 -1.3300,1.8100 -0.5300,1.8100 -0.5300,-1.4700	-0.4800,-1.4800 0.3700,-1.4800 0.3600,-0.0800 2.9100,-0.0600 2.8600,4.5400 -1.3200,4.5000 -1.3000,1.7800 -0.5100,1.7900
348	b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df	6	0.9780	0.6500,-3.0800 0.6500,1.2600 -1.5200,1.2600 -1.5200,0.7800 -3.1600,0.7800 -3.1600,-3.0800	-3.1600,0.7300 -3.1400,-3.1200 0.6600,-3.1000 0.6400,1.2300 -1.5300,1.2200 -1.5200,0.7400
349	b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73	10	0.9820	-0.0200,-1.3500 -0.0200,-0.2700 1.5700,-0.2700 1.5700,0.5200 -2.5400,0.5200 -2.5400,1.6700 -8.1600,1.6700 -8.1600,-2.7400 -2.4300,-2.7400 -2.4300,-1.3500	-8.1600,-2.7500 -2.4900,-2.7600 -2.4900,-1.3800 -0.0200,-1.3800 -0.0200,-0.2100 1.5800,-0.2100 1.5800,0.5000 -2.4800,0.5100 -2.4800,0.6300 -2.5700,0.6300 -2.5600,1.6500 -8.1600,1.6600
350	b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4	6	0.9770	0.5800,-1.1800 0.5800,2.5200 -3.0100,2.5200 -3.0100,-1.6900 -0.8300,-1.6900 -0.8300,-1.1800	-3.0300,2.5300 -2.9900,-1.6800 -0.8200,-1.6600 -0.8200,-1.1500 0.5900,-1.1400 0.5500,2.5600
351	b8cTxDM8gDG_f3748786c3704532abb2358581488f3f	10	0.9670	3.7100,-3.3200 3.7100,-0.9900 4.2400,-0.9900 4.2400,0.9300 0.1700,0.9300 0.1700,1.8900 -3.2800,1.8900 -3.2800,-1.1900 0.5400,-1.1900 0.5400,-3.3200	0.5300,-3.2900 3.7000,-3.3400 3.7400,-1.0100 4.2600,-1.0200 4.2900,0.8800 3.7700,0.8800 3.7700,0.9200 0.2200,0.9800 0.2300,1.9200 -1.5900,1.9500 -1.6000,1.7800 -2.0200,1.7900 -2.0200,1.9600 -3.2100,1.9800 -3.2600,-1.1000 0.5600,-1.1600
352	e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd	6	0.9910	3.2900,-1.5200 3.2900,2.8700 1.5500,2.8700 1.5500,1.3000 -2.5100,1.3000 -2.5100,-1.5200	-2.5100,-1.5300 3.2900,-1.5200 3.2800,2.8700 1.5400,2.8600 1.5400,1.3000 -2.5100,1.2900
353	e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8	10	0.9850	0.5900,-2.1800 0.5900,0.7700 2.2000,0.7700 2.2000,2.6800 0.0600,2.6800 0.0600,9.2000 -5.6000,9.2000 -5.6000,4.1400 -2.4700,4.1400 -2.4700,-2.1800	-2.4900,-2.1900 0.5700,-2.1900 0.5800,-0.6000 0.4500,-0.6000 0.4600,0.5600 0.5800,0.5600 0.5800,0.7600 0.7400,0.7600 0.7400,0.9300 1.1800,0.9300 1.1800,0.9300 1.6800,0.9300 1.6800,0.7600 2.1800,0.7600 2.1900,2.6700 0.0500,2.6700 0.0600,8.5400 -0.0500,8.5400 -0.0500,9.1900 -5.6000,9.2000 -5.6100,4.1300 -2.4800,4.1300
354	e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654	6	1.0000	0.4300,-1.4500 0.4300,-0.4100 3.8300,-0.4100 3.8300,0.6200 -4.0200,0.6200 -4.0200,-1.4500	-4.0200,-1.4400 0.4300,-1.4500 0.4300,-0.4200 3.8300,-0.4200 3.8300,0.6200 -4.0200,0.6300
355	e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45	6	1.0000	1.5600,-4.1300 1.5600,0.6800 -2.2500,0.6800 -2.2500,1.5300 -5.1800,1.5300 -5.1800,-4.1300	-5.1700,-4.1500 1.5700,-4.1300 1.5600,0.6800 -2.2500,0.6800 -2.2500,1.5200 -5.1800,1.5200
356	e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47	8	0.9810	0.7900,-4.8800 0.7900,1.8800 -4.1400,1.8800 -4.1400,-2.0200 -8.1000,-2.0200 -8.1000,-3.9600 -4.1400,-3.9600 -4.1400,-4.8800	-4.1100,-4.8900 0.8200,-4.8600 0.7800,0.5500 0.6000,0.5500 0.6000,0.9300 0.5100,0.9300 0.5000,1.9000 -4.1600,1.8600 -4.1300,-2.0300 -8.0900,-2.0500 -8.0800,-4.0100 -4.1200,-3.9800
357	e9zR4mvMWw7_511976eee78f42e6858dcb7845a44777	8	0.9830	0.6700,-4.6400 0.6700,3.9700 -6.8100,3.9700 -6.8100,1.3500 -2.9100,1.3500 -2.9100,0.2900 -4.0900,0.2900 -4.0900,-4.6400	-4.0600,-4.6500 0.6900,-4.6100 0.6400,2.6500 0.5400,2.6500 0.5300,3.9900 -6.8500,3.9300 -6.8300,1.3100 -2.9300,1.3400 -2.9200,0.2900 -4.1000,0.2800
